col_name,db_column_name,column_type,aggregation,data_type,tableobject,db_table,datatype,authentication,class,db,schema,server,username,warehouse,connection,directory,name,table,dstype,filename,fileid
O_ORDERKEY,O_ORDERKEY,column,Sum,integer,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_CUSTKEY,O_CUSTKEY,column,Sum,integer,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_ORDERSTATUS,O_ORDERSTATUS,column,Count,string,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_TOTALPRICE,O_TOTALPRICE,column,Sum,real,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_ORDERDATE,O_ORDERDATE,column,Year,date,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_ORDERPRIORITY,O_ORDERPRIORITY,column,Count,string,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_CLERK,O_CLERK,column,Count,string,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_SHIPPRIORITY,O_SHIPPRIORITY,column,Sum,integer,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
O_COMMENT,O_COMMENT,column,Count,string,ORDERS (SNOWFLAKE_SAMPLE_DATA.ORDERS)_1700146DC69C4242B1C9CA627F1EF300,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,ORDERS,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[ORDERS],table,SF Trial.tds,tdsid1
C_CUSTKEY,C_CUSTKEY,column,Sum,integer,CUSTOMER (SNOWFLAKE_SAMPLE_DATA.CUSTOMER)_5F34BA40E7E445D88B41E58EBEB0CE3D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,CUSTOMER,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[CUSTOMER],table,SF Trial.tds,tdsid1
C_NAME,C_NAME,column,Count,string,CUSTOMER (SNOWFLAKE_SAMPLE_DATA.CUSTOMER)_5F34BA40E7E445D88B41E58EBEB0CE3D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,ph21094.eu-west-2.aws.snowflakecomputing.com,tomday,COMPUTE_WH,snowflake.0hmyh7n1x9hgfw1emvrv911ig9wb, ,CUSTOMER,[SNOWFLAKE_SAMPLE_DATA].[TPCH_SF1].[CUSTOMER],table,SF Trial.tds,tdsid1
