col_name,db_column_name,column_type,aggregation,data_type,tableobject,db_table,datatype,authentication,class,db,schema,server,username,warehouse,connection,directory,name,table,dstype,filename,fileid
O_ORDERKEY,O_ORDERKEY,column,Sum,integer,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_CUSTKEY,O_CUSTKEY,column,Sum,integer,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_ORDERSTATUS,O_ORDERSTATUS,column,Count,string,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_TOTALPRICE,O_TOTALPRICE,column,Sum,real,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_ORDERDATE,O_ORDERDATE,column,Year,date,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_ORDERPRIORITY,O_ORDERPRIORITY,column,Count,string,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_CLERK,O_CLERK,column,Count,string,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_SHIPPRIORITY,O_SHIPPRIORITY,column,Sum,integer,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
O_COMMENT,O_COMMENT,column,Count,string,ORDERS (TPCH_SF1.ORDERS)_A89E2F1110A54BC099851DC145054EDE,ORDERS,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,ORDERS,[TPCH_SF1].[ORDERS],table,Snowflake with calculations.tds,tdsid1
C_CUSTKEY,C_CUSTKEY,column,Sum,integer,CUSTOMER (TPCH_SF1.CUSTOMER)_5E9766E42DD34B02A3B5EF207F92490D,CUSTOMER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,CUSTOMER,[TPCH_SF1].[CUSTOMER],table,Snowflake with calculations.tds,tdsid1
